ciphertext,word_count,words
ADAD,4,"YAYA, RURU, ADAD, LOLO"
BEBE,4,"YAYA, RURU, ADAD, LOLO"
CFCF,4,"YAYA, RURU, ADAD, LOLO"
DGDG,4,"YAYA, RURU, ADAD, LOLO"
EHEH,4,"YAYA, RURU, ADAD, LOLO"
FIFI,4,"YAYA, RURU, ADAD, LOLO"
GJGJ,4,"YAYA, RURU, ADAD, LOLO"
HKHK,4,"YAYA, RURU, ADAD, LOLO"
ILIL,4,"YAYA, RURU, ADAD, LOLO"
JMJM,4,"YAYA, RURU, ADAD, LOLO"
KNKN,4,"YAYA, RURU, ADAD, LOLO"
LOLO,4,"YAYA, RURU, ADAD, LOLO"
MPMP,4,"YAYA, RURU, ADAD, LOLO"
NQNQ,4,"YAYA, RURU, ADAD, LOLO"
OROR,4,"YAYA, RURU, ADAD, LOLO"
PSPS,4,"YAYA, RURU, ADAD, LOLO"
QTQT,4,"YAYA, RURU, ADAD, LOLO"
RURU,4,"YAYA, RURU, ADAD, LOLO"
SVSV,4,"YAYA, RURU, ADAD, LOLO"
TWTW,4,"YAYA, RURU, ADAD, LOLO"
UXUX,4,"YAYA, RURU, ADAD, LOLO"
VYVY,4,"YAYA, RURU, ADAD, LOLO"
WZWZ,4,"YAYA, RURU, ADAD, LOLO"
X X ,4,"YAYA, RURU, ADAD, LOLO"
YAYA,4,"YAYA, RURU, ADAD, LOLO"
ZBZB,4,"YAYA, RURU, ADAD, LOLO"
 C C,4,"YAYA, RURU, ADAD, LOLO"
ANAN,4,"ERER, WIWI, BOBO, ANAN"
BOBO,4,"ERER, WIWI, BOBO, ANAN"
CPCP,4,"ERER, WIWI, BOBO, ANAN"
DQDQ,4,"ERER, WIWI, BOBO, ANAN"
ERER,4,"ERER, WIWI, BOBO, ANAN"
FSFS,4,"ERER, WIWI, BOBO, ANAN"
GTGT,4,"ERER, WIWI, BOBO, ANAN"
HUHU,4,"ERER, WIWI, BOBO, ANAN"
IVIV,4,"ERER, WIWI, BOBO, ANAN"
JWJW,4,"ERER, WIWI, BOBO, ANAN"
KXKX,4,"ERER, WIWI, BOBO, ANAN"
LYLY,4,"ERER, WIWI, BOBO, ANAN"
MZMZ,4,"ERER, WIWI, BOBO, ANAN"
N N ,4,"ERER, WIWI, BOBO, ANAN"
OAOA,4,"ERER, WIWI, BOBO, ANAN"
PBPB,4,"ERER, WIWI, BOBO, ANAN"
QCQC,4,"ERER, WIWI, BOBO, ANAN"
RDRD,4,"ERER, WIWI, BOBO, ANAN"
SESE,4,"ERER, WIWI, BOBO, ANAN"
TFTF,4,"ERER, WIWI, BOBO, ANAN"
UGUG,4,"ERER, WIWI, BOBO, ANAN"
VHVH,4,"ERER, WIWI, BOBO, ANAN"
WIWI,4,"ERER, WIWI, BOBO, ANAN"
